rapidez, referencia, distancia, pid,0.308433331359,0.33,1.25664,100,
rapidez, referencia, distancia, pid,0.308433331359,0.33,1.25664,100,
rapidez, referencia, distancia, pid,0.473556290254,0.33,1.382304,-10,
rapidez, referencia, distancia, pid,0.423556290254,0.33,1.382304,-10,
rapidez, referencia, distancia, pid,0.373556290254,0.33,1.382304,-10,
rapidez, referencia, distancia, pid,0.323556290254,0.33,1.382304,-10,
rapidez, referencia, distancia, pid,0.323556290254,0.33,1.382304,27.047476679,
rapidez, referencia, distancia, pid,0.323556290254,0.33,1.382304,27.5591967634,
rapidez, referencia, distancia, pid,0.323556290254,0.33,1.382304,28.0709168477,
rapidez, referencia, distancia, pid,0.323556290254,0.33,1.382304,28.5826369321,
rapidez, referencia, distancia, pid,0.323556290254,0.33,1.382304,29.0943570164,
rapidez, referencia, distancia, pid,0.323556290254,0.33,1.382304,29.6060771008,
rapidez, referencia, distancia, pid,0.323556290254,0.33,1.382304,30.1177971852,
rapidez, referencia, distancia, pid,0.323556290254,0.33,1.382304,30.6295172695,
rapidez, referencia, distancia, pid,0.323556290254,0.33,1.382304,31.1412373539,
rapidez, referencia, distancia, pid,0.323556290254,0.33,1.382304,31.6529574382,
rapidez, referencia, distancia, pid,0.323556290254,0.33,1.382304,32.1646775226,
rapidez, referencia, distancia, pid,0.323556290254,0.33,1.382304,32.6763976069,
rapidez, referencia, distancia, pid,0.323556290254,0.33,1.382304,33.1881176913,
rapidez, referencia, distancia, pid,0.323556290254,0.33,1.382304,33.6998377757,
rapidez, referencia, distancia, pid,0.520750869658,0.33,1.507968,-10,
rapidez, referencia, distancia, pid,0.470750869658,0.33,1.507968,-10,
rapidez, referencia, distancia, pid,0.420750869658,0.33,1.507968,-10,
rapidez, referencia, distancia, pid,0.370750869658,0.33,1.507968,-10,
rapidez, referencia, distancia, pid,0.320750869658,0.33,1.507968,-10,
rapidez, referencia, distancia, pid,0.270750869658,0.33,1.507968,-13.7666176214,
rapidez, referencia, distancia, pid,0.270750869658,0.33,1.507968,100,
rapidez, referencia, distancia, pid,0.270750869658,0.33,1.507968,100,
rapidez, referencia, distancia, pid,0.270750869658,0.33,1.507968,100,
rapidez, referencia, distancia, pid,0.270750869658,0.33,1.507968,100,
rapidez, referencia, distancia, pid,0.270750869658,0.33,1.507968,100,
rapidez, referencia, distancia, pid,0.270750869658,0.33,1.507968,100,
rapidez, referencia, distancia, pid,0.270750869658,0.33,1.507968,100,
rapidez, referencia, distancia, pid,0.270750869658,0.33,1.507968,100,
rapidez, referencia, distancia, pid,0.270750869658,0.33,1.507968,100,
rapidez, referencia, distancia, pid,0.270750869658,0.33,1.507968,100,
rapidez, referencia, distancia, pid,0.270750869658,0.33,1.507968,100,
rapidez, referencia, distancia, pid,0.270750869658,0.33,1.507968,100,
rapidez, referencia, distancia, pid,0.270750869658,0.33,1.507968,100,
rapidez, referencia, distancia, pid,0.475194920819,0.33,1.633632,-10,
rapidez, referencia, distancia, pid,0.425194920819,0.33,1.633632,-10,
rapidez, referencia, distancia, pid,0.375194920819,0.33,1.633632,-10,
rapidez, referencia, distancia, pid,0.325194920819,0.33,1.633632,-10,
rapidez, referencia, distancia, pid,0.275194920819,0.33,1.633632,-2.57474932898,
rapidez, referencia, distancia, pid,0.275194920819,0.33,1.633632,100,
rapidez, referencia, distancia, pid,0.275194920819,0.33,1.633632,100,
rapidez, referencia, distancia, pid,0.275194920819,0.33,1.633632,100,
rapidez, referencia, distancia, pid,0.275194920819,0.33,1.633632,100,
rapidez, referencia, distancia, pid,0.275194920819,0.33,1.633632,100,
rapidez, referencia, distancia, pid,0.275194920819,0.33,1.633632,100,
rapidez, referencia, distancia, pid,0.275194920819,0.33,1.633632,100,
rapidez, referencia, distancia, pid,0.275194920819,0.33,1.633632,100,
rapidez, referencia, distancia, pid,0.275194920819,0.33,1.633632,100,
rapidez, referencia, distancia, pid,0.275194920819,0.33,1.633632,100,
rapidez, referencia, distancia, pid,0.275194920819,0.33,1.633632,100,
rapidez, referencia, distancia, pid,0.275194920819,0.33,1.633632,100,
rapidez, referencia, distancia, pid,0.275194920819,0.33,1.633632,100,
rapidez, referencia, distancia, pid,0.518170494214,0.33,1.759296,-10,
rapidez, referencia, distancia, pid,0.468170494214,0.33,1.759296,-10,
rapidez, referencia, distancia, pid,0.418170494214,0.33,1.759296,-10,
rapidez, referencia, distancia, pid,0.368170494214,0.33,1.759296,-10,
rapidez, referencia, distancia, pid,0.318170494214,0.33,1.759296,-10,
rapidez, referencia, distancia, pid,0.318170494214,0.33,1.759296,19.3281640111,
rapidez, referencia, distancia, pid,0.318170494214,0.33,1.759296,20.2675911327,
rapidez, referencia, distancia, pid,0.318170494214,0.33,1.759296,21.2070182543,
rapidez, referencia, distancia, pid,0.318170494214,0.33,1.759296,22.1464453759,
rapidez, referencia, distancia, pid,0.318170494214,0.33,1.759296,23.0858724975,
rapidez, referencia, distancia, pid,0.318170494214,0.33,1.759296,24.0252996191,
rapidez, referencia, distancia, pid,0.318170494214,0.33,1.759296,24.9647267407,
rapidez, referencia, distancia, pid,0.318170494214,0.33,1.759296,25.9041538623,
rapidez, referencia, distancia, pid,0.318170494214,0.33,1.759296,26.8435809839,
rapidez, referencia, distancia, pid,0.318170494214,0.33,1.759296,27.7830081055,
rapidez, referencia, distancia, pid,0.318170494214,0.33,1.759296,28.7224352271,
rapidez, referencia, distancia, pid,0.318170494214,0.33,1.759296,29.6618623487,
rapidez, referencia, distancia, pid,0.318170494214,0.33,1.759296,30.6012894703,
rapidez, referencia, distancia, pid,0.318170494214,0.33,1.759296,31.5407165919,
rapidez, referencia, distancia, pid,0.488438925126,0.33,1.88496,-10,
rapidez, referencia, distancia, pid,0.438438925126,0.33,1.88496,-10,
rapidez, referencia, distancia, pid,0.388438925126,0.33,1.88496,-10,
rapidez, referencia, distancia, pid,0.338438925126,0.33,1.88496,-10,
rapidez, referencia, distancia, pid,0.288438925126,0.33,1.88496,-67.0529761433,
rapidez, referencia, distancia, pid,0.288438925126,0.33,1.88496,73.2485506619,
rapidez, referencia, distancia, pid,0.288438925126,0.33,1.88496,76.5490774671,
rapidez, referencia, distancia, pid,0.288438925126,0.33,1.88496,79.8496042723,
rapidez, referencia, distancia, pid,0.288438925126,0.33,1.88496,83.1501310774,
rapidez, referencia, distancia, pid,0.288438925126,0.33,1.88496,86.4506578826,
rapidez, referencia, distancia, pid,0.288438925126,0.33,1.88496,89.7511846878,
rapidez, referencia, distancia, pid,0.288438925126,0.33,1.88496,93.051711493,
rapidez, referencia, distancia, pid,0.288438925126,0.33,1.88496,96.3522382981,
rapidez, referencia, distancia, pid,0.288438925126,0.33,1.88496,99.6527651033,
rapidez, referencia, distancia, pid,0.288438925126,0.33,1.88496,100,
rapidez, referencia, distancia, pid,0.288438925126,0.33,1.88496,100,
rapidez, referencia, distancia, pid,0.288438925126,0.33,1.88496,100,
rapidez, referencia, distancia, pid,0.288438925126,0.33,1.88496,100,
rapidez, referencia, distancia, pid,0.288438925126,0.33,1.88496,100,
rapidez, referencia, distancia, pid,0.288438925126,0.33,1.88496,100,
rapidez, referencia, distancia, pid,0.465874920947,0.33,2.010624,-10,
rapidez, referencia, distancia, pid,0.415874920947,0.33,2.010624,-10,
rapidez, referencia, distancia, pid,0.365874920947,0.33,2.010624,-10,
rapidez, referencia, distancia, pid,0.315874920947,0.33,2.010624,-10,
rapidez, referencia, distancia, pid,0.315874920947,0.33,2.010624,10.1824392096,
rapidez, referencia, distancia, pid,0.315874920947,0.33,2.010624,11.3041667438,
rapidez, referencia, distancia, pid,0.315874920947,0.33,2.010624,12.4258942781,
rapidez, referencia, distancia, pid,0.315874920947,0.33,2.010624,13.5476218124,
rapidez, referencia, distancia, pid,0.315874920947,0.33,2.010624,14.6693493467,
rapidez, referencia, distancia, pid,0.315874920947,0.33,2.010624,15.7910768809,
rapidez, referencia, distancia, pid,0.315874920947,0.33,2.010624,16.9128044152,
rapidez, referencia, distancia, pid,0.315874920947,0.33,2.010624,18.0345319495,
rapidez, referencia, distancia, pid,0.315874920947,0.33,2.010624,19.1562594838,
rapidez, referencia, distancia, pid,0.315874920947,0.33,2.010624,20.277987018,
rapidez, referencia, distancia, pid,0.315874920947,0.33,2.010624,21.3997145523,
rapidez, referencia, distancia, pid,0.315874920947,0.33,2.010624,22.5214420866,
rapidez, referencia, distancia, pid,0.315874920947,0.33,2.010624,23.6431696209,
rapidez, referencia, distancia, pid,0.315874920947,0.33,2.010624,24.7648971551,
rapidez, referencia, distancia, pid,0.315874920947,0.33,2.010624,25.8866246894,
rapidez, referencia, distancia, pid,0.315874920947,0.33,2.010624,27.0083522237,
rapidez, referencia, distancia, pid,0.315874920947,0.33,2.010624,28.1300797579,
rapidez, referencia, distancia, pid,0.315874920947,0.33,2.010624,29.2518072922,
rapidez, referencia, distancia, pid,0.422858385395,0.33,2.136288,-10,
rapidez, referencia, distancia, pid,0.372858385395,0.33,2.136288,-10,
rapidez, referencia, distancia, pid,0.322858385395,0.33,2.136288,-10,
rapidez, referencia, distancia, pid,0.272858385395,0.33,2.136288,-11.438619534,
rapidez, referencia, distancia, pid,0.272858385395,0.33,2.136288,100,
rapidez, referencia, distancia, pid,0.272858385395,0.33,2.136288,100,
rapidez, referencia, distancia, pid,0.272858385395,0.33,2.136288,100,
rapidez, referencia, distancia, pid,0.272858385395,0.33,2.136288,100,
rapidez, referencia, distancia, pid,0.272858385395,0.33,2.136288,100,
rapidez, referencia, distancia, pid,0.272858385395,0.33,2.136288,100,
rapidez, referencia, distancia, pid,0.272858385395,0.33,2.136288,100,
rapidez, referencia, distancia, pid,0.272858385395,0.33,2.136288,100,
rapidez, referencia, distancia, pid,0.272858385395,0.33,2.136288,100,
rapidez, referencia, distancia, pid,0.272858385395,0.33,2.136288,100,
rapidez, referencia, distancia, pid,0.272858385395,0.33,2.136288,100,
rapidez, referencia, distancia, pid,0.272858385395,0.33,2.136288,100,
rapidez, referencia, distancia, pid,0.272858385395,0.33,2.136288,100,
rapidez, referencia, distancia, pid,0.272858385395,0.33,2.136288,100,
rapidez, referencia, distancia, pid,0.272858385395,0.33,2.136288,100,
rapidez, referencia, distancia, pid,0.272858385395,0.33,2.136288,100,
rapidez, referencia, distancia, pid,0.272858385395,0.33,2.136288,100,
rapidez, referencia, distancia, pid,0.272858385395,0.33,2.136288,100,
rapidez, referencia, distancia, pid,0.272858385395,0.33,2.136288,100,
rapidez, referencia, distancia, pid,0.406739279471,0.33,2.261952,-10,
rapidez, referencia, distancia, pid,0.356739279471,0.33,2.261952,-10,
rapidez, referencia, distancia, pid,0.306739279471,0.33,2.261952,-36.3365173379,
rapidez, referencia, distancia, pid,0.306739279471,0.33,2.261952,100,
rapidez, referencia, distancia, pid,0.306739279471,0.33,2.261952,100,
rapidez, referencia, distancia, pid,0.306739279471,0.33,2.261952,100,
rapidez, referencia, distancia, pid,0.306739279471,0.33,2.261952,100,
rapidez, referencia, distancia, pid,0.306739279471,0.33,2.261952,100,
rapidez, referencia, distancia, pid,0.306739279471,0.33,2.261952,100,
rapidez, referencia, distancia, pid,0.306739279471,0.33,2.261952,100,
rapidez, referencia, distancia, pid,0.306739279471,0.33,2.261952,100,
rapidez, referencia, distancia, pid,0.306739279471,0.33,2.261952,100,
rapidez, referencia, distancia, pid,0.306739279471,0.33,2.261952,100,
rapidez, referencia, distancia, pid,0.306739279471,0.33,2.261952,100,
rapidez, referencia, distancia, pid,0.306739279471,0.33,2.261952,100,
rapidez, referencia, distancia, pid,0.306739279471,0.33,2.261952,100,
rapidez, referencia, distancia, pid,0.306739279471,0.33,2.261952,100,
rapidez, referencia, distancia, pid,0.306739279471,0.33,2.261952,100,
rapidez, referencia, distancia, pid,0.306739279471,0.33,2.261952,100,
rapidez, referencia, distancia, pid,0.306739279471,0.33,2.261952,100,
rapidez, referencia, distancia, pid,0.306739279471,0.33,2.261952,100,
rapidez, referencia, distancia, pid,0.306739279471,0.33,2.261952,100,
rapidez, referencia, distancia, pid,0.413593608621,0.33,2.387616,-10,
rapidez, referencia, distancia, pid,0.363593608621,0.33,2.387616,-10,
rapidez, referencia, distancia, pid,0.313593608621,0.33,2.387616,-39.9357346746,
rapidez, referencia, distancia, pid,0.313593608621,0.33,2.387616,98.3681607555,
rapidez, referencia, distancia, pid,0.313593608621,0.33,2.387616,99.6710561856,
rapidez, referencia, distancia, pid,0.313593608621,0.33,2.387616,100,
rapidez, referencia, distancia, pid,0.313593608621,0.33,2.387616,100,
rapidez, referencia, distancia, pid,0.313593608621,0.33,2.387616,100,
rapidez, referencia, distancia, pid,0.313593608621,0.33,2.387616,100,
