rapidez, referencia, pid,0.268503197016,0.33,100,
rapidez, referencia, pid,0.268503197016,0.33,100,
rapidez, referencia, pid,0.268503197016,0.33,100,
rapidez, referencia, pid,0.268503197016,0.33,100,
rapidez, referencia, pid,0.268503197016,0.33,100,
rapidez, referencia, pid,0.268503197016,0.33,100,
rapidez, referencia, pid,0.268503197016,0.33,100,
rapidez, referencia, pid,0.268503197016,0.33,100,
rapidez, referencia, pid,0.389364450134,0.33,-10,
rapidez, referencia, pid,0.339364450134,0.33,-10,
rapidez, referencia, pid,0.339364450134,0.33,13.7214102977,
rapidez, referencia, pid,0.339364450134,0.33,12.9777428451,
rapidez, referencia, pid,0.339364450134,0.33,12.2340753924,
rapidez, referencia, pid,0.339364450134,0.33,11.4904079397,
rapidez, referencia, pid,0.339364450134,0.33,10.746740487,
rapidez, referencia, pid,0.339364450134,0.33,10.0030730343,
rapidez, referencia, pid,0.339364450134,0.33,9.25940558167,
rapidez, referencia, pid,0.339364450134,0.33,8.51573812899,
rapidez, referencia, pid,0.339364450134,0.33,7.77207067631,
rapidez, referencia, pid,0.339364450134,0.33,7.02840322364,
rapidez, referencia, pid,0.339364450134,0.33,6.28473577096,
rapidez, referencia, pid,0.339364450134,0.33,5.54106831828,
rapidez, referencia, pid,0.339364450134,0.33,4.7974008656,
rapidez, referencia, pid,0.339364450134,0.33,4.05373341292,
rapidez, referencia, pid,0.339364450134,0.33,3.31006596024,
rapidez, referencia, pid,0.339364450134,0.33,2.56639850757,
rapidez, referencia, pid,0.339364450134,0.33,1.82273105489,
rapidez, referencia, pid,0.339364450134,0.33,1.07906360221,
rapidez, referencia, pid,0.339364450134,0.33,0.335396149531,
rapidez, referencia, pid,0.45472094604,0.33,-10,
rapidez, referencia, pid,0.40472094604,0.33,-10,
rapidez, referencia, pid,0.35472094604,0.33,-10,
rapidez, referencia, pid,0.30472094604,0.33,-73.4186244187,
rapidez, referencia, pid,0.30472094604,0.33,65.5898836994,
rapidez, referencia, pid,0.30472094604,0.33,67.5973918175,
rapidez, referencia, pid,0.30472094604,0.33,69.6048999356,
rapidez, referencia, pid,0.30472094604,0.33,71.6124080537,
rapidez, referencia, pid,0.30472094604,0.33,73.6199161718,
rapidez, referencia, pid,0.30472094604,0.33,75.6274242899,
rapidez, referencia, pid,0.30472094604,0.33,77.634932408,
rapidez, referencia, pid,0.30472094604,0.33,79.6424405261,
rapidez, referencia, pid,0.30472094604,0.33,81.6499486442,
rapidez, referencia, pid,0.30472094604,0.33,83.6574567623,
rapidez, referencia, pid,0.30472094604,0.33,85.6649648804,
rapidez, referencia, pid,0.30472094604,0.33,87.6724729985,
rapidez, referencia, pid,0.30472094604,0.33,89.6799811166,
rapidez, referencia, pid,0.30472094604,0.33,91.6874892347,
rapidez, referencia, pid,0.30472094604,0.33,93.6949973528,
rapidez, referencia, pid,0.30472094604,0.33,95.7025054709,
rapidez, referencia, pid,0.30472094604,0.33,97.710013589,
rapidez, referencia, pid,0.30472094604,0.33,99.7175217071,
rapidez, referencia, pid,0.30472094604,0.33,100,
rapidez, referencia, pid,0.30472094604,0.33,100,
rapidez, referencia, pid,0.30472094604,0.33,100,
rapidez, referencia, pid,0.30472094604,0.33,100,
rapidez, referencia, pid,0.30472094604,0.33,100,
rapidez, referencia, pid,0.349590471092,0.33,-10,
rapidez, referencia, pid,0.299590471092,0.33,-20.2705396487,
rapidez, referencia, pid,0.299590471092,0.33,100,
rapidez, referencia, pid,0.299590471092,0.33,100,
rapidez, referencia, pid,0.299590471092,0.33,100,
rapidez, referencia, pid,0.299590471092,0.33,100,
rapidez, referencia, pid,0.299590471092,0.33,100,
rapidez, referencia, pid,0.299590471092,0.33,100,
rapidez, referencia, pid,0.299590471092,0.33,100,
rapidez, referencia, pid,0.299590471092,0.33,100,
rapidez, referencia, pid,0.299590471092,0.33,100,
rapidez, referencia, pid,0.299590471092,0.33,100,
rapidez, referencia, pid,0.299590471092,0.33,100,
